;Name;Director;Cast;Initial Release;Rating
1;The Shawshank Redemption;Frank Darabont;Tim Robbins,  Morgan Freeman;1994;9.2
2;The Godfather;Francis Ford Coppola;Marlon Brando,  Al Pacino;1972;9.1
3;The Godfather: Part II;Francis Ford Coppola;Al Pacino,  Robert De Niro;1974;9.0
4;The Dark Knight;Christopher Nolan;Christian Bale,  Heath Ledger;2008;9.0
5;12 Angry Men;Sidney Lumet;Henry Fonda,  Lee J. Cobb;1957;8.9
6;Schindler's List;Steven Spielberg;Liam Neeson,  Ralph Fiennes;1993;8.9
7;The Lord of the Rings: The Return of the King;Peter Jackson;Elijah Wood,  Viggo Mortensen;2003;8.9
8;Pulp Fiction;Quentin Tarantino;John Travolta,  Uma Thurman;1994;8.8
9;Il buono, il brutto, il cattivo;Sergio Leone;Clint Eastwood,  Eli Wallach;1966;8.8
10;The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;Elijah Wood,  Ian McKellen;2001;8.8
11;Fight Club;David Fincher;Brad Pitt,  Edward Norton;1999;8.8
12;Forrest Gump;Robert Zemeckis;Tom Hanks,  Robin Wright;1994;8.8
13;Inception;Christopher Nolan;Leonardo DiCaprio,  Joseph Gordon-Levitt;2010;8.7
14;The Lord of the Rings: The Two Towers;Peter Jackson;Elijah Wood,  Ian McKellen;2002;8.7
15;Star Wars: Episode V - The Empire Strikes Back;Irvin Kershner;Mark Hamill,  Harrison Ford;1980;8.7
16;The Matrix;Lana Wachowski;Keanu Reeves,  Laurence Fishburne;1999;8.6
17;Goodfellas;Martin Scorsese;Robert De Niro,  Ray Liotta;1990;8.6
18;One Flew Over the Cuckoo's Nest;Milos Forman;Jack Nicholson,  Louise Fletcher;1975;8.6
19;Shichinin no samurai;Akira Kurosawa;Toshirô Mifune,  Takashi Shimura;1954;8.6
20;Se7en;David Fincher;Morgan Freeman,  Brad Pitt;1995;8.6
21;La vita è bella;Roberto Benigni;Roberto Benigni,  Nicoletta Braschi;1997;8.6
22;Cidade de Deus;Fernando Meirelles;Alexandre Rodrigues,  Leandro Firmino;2002;8.6
